pid,artist,location,label,_date,object_type,current_location,source,order,layout,collection,thumbnail,full,manifest
obj7,Ousmane Sow,online, La riposte de Piz'i (Chief Gall),1999,composite,,http://www.ousmanesow.com,7,gallery_item,visual-gallery,/img/derivatives/simple/obj7/thumbnail.jpg,/img/derivatives/simple/obj7/full.jpg,
obj70,,,Not At Liberty,5/7/06,photo,,,70,gallery_item,visual-gallery,/img/derivatives/simple/obj70/thumbnail.jpg,/img/derivatives/simple/obj70/full.jpg,
obj71,,,Equestrian Moment,5/7/06,photo,,,71,gallery_item,visual-gallery,/img/derivatives/simple/obj71/thumbnail.jpg,/img/derivatives/simple/obj71/full.jpg,
obj72,,,Stilled Life,5/7/06,photo,,,72,gallery_item,visual-gallery,/img/derivatives/simple/obj72/thumbnail.jpg,/img/derivatives/simple/obj72/full.jpg,
obj73,,,Western Doorstep,5/27/06,photo,,,73,gallery_item,visual-gallery,/img/derivatives/simple/obj73/thumbnail.jpg,/img/derivatives/simple/obj73/full.jpg,
obj74,Wm. Drennan,,Survivors,1914,photo,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",https://lccn.loc.gov/2007661908,74,gallery_item,visual-gallery,/img/derivatives/simple/obj74/thumbnail.jpg,/img/derivatives/simple/obj74/full.jpg,
obj75,,,At Wyalusing,5/27/06,photo,,,75,gallery_item,visual-gallery,/img/derivatives/simple/obj75/thumbnail.jpg,/img/derivatives/simple/obj75/full.jpg,
obj76,,,Cornplanter,5/27/06,photo,,,76,gallery_item,visual-gallery,/img/derivatives/simple/obj76/thumbnail.jpg,/img/derivatives/simple/obj76/full.jpg,
obj77,,,At The Unveiling,5/27/06,photo,,,77,gallery_item,visual-gallery,/img/derivatives/simple/obj77/thumbnail.jpg,/img/derivatives/simple/obj77/full.jpg,
obj78,,,Red Jacket,5/27/06,photo,,,78,gallery_item,visual-gallery,/img/derivatives/simple/obj78/thumbnail.jpg,/img/derivatives/simple/obj78/full.jpg,
obj79,,,Growing Corn,5/27/06,photo,,,79,gallery_item,visual-gallery,/img/derivatives/simple/obj79/thumbnail.jpg,/img/derivatives/simple/obj79/full.jpg,
obj8,Ousmane Sow,online,Tazsunke Witko (Crazy Horse) est assailli,1999,composite,,http://www.ousmanesow.com,8,gallery_item,visual-gallery,/img/derivatives/simple/obj8/thumbnail.jpg,/img/derivatives/simple/obj8/full.jpg,
obj80,,,The Haudenosaunee!,5/27/06,photo,,,80,gallery_item,visual-gallery,/img/derivatives/simple/obj80/thumbnail.jpg,/img/derivatives/simple/obj80/full.jpg,
obj81,,,Tioga (Turning) Point,5/27/06,photo,,,81,gallery_item,visual-gallery,/img/derivatives/simple/obj81/thumbnail.jpg,/img/derivatives/simple/obj81/full.jpg,
obj82,,,The Western Door,6/11/06,photo,,,82,gallery_item,visual-gallery,/img/derivatives/simple/obj82/thumbnail.jpg,/img/derivatives/simple/obj82/full.jpg,
obj83,,,The Three Sisters,6/11/06,photo,,,83,gallery_item,visual-gallery,/img/derivatives/simple/obj83/thumbnail.jpg,/img/derivatives/simple/obj83/full.jpg,
obj84,,,The Warrior's Path,6/11/06,photo,,,84,gallery_item,visual-gallery,/img/derivatives/simple/obj84/thumbnail.jpg,/img/derivatives/simple/obj84/full.jpg,
obj85,,,Rt. 17 Corn Field,6/11/06,photo,,,85,gallery_item,visual-gallery,/img/derivatives/simple/obj85/thumbnail.jpg,/img/derivatives/simple/obj85/full.jpg,
obj86,,,Longhouse,6/11/06,photo,,,86,gallery_item,visual-gallery,/img/derivatives/simple/obj86/thumbnail.jpg,/img/derivatives/simple/obj86/full.jpg,
obj87,,,Iroquoia 1779,6/11/06,photo,,,87,gallery_item,visual-gallery,/img/derivatives/simple/obj87/thumbnail.jpg,/img/derivatives/simple/obj87/full.jpg,
obj88,,,Scorched Earth,6/11/06,photo,,,88,gallery_item,visual-gallery,/img/derivatives/simple/obj88/thumbnail.jpg,/img/derivatives/simple/obj88/full.jpg,
obj89,,,Sacred & Imperiled,6/11/06,photo,,,89,gallery_item,visual-gallery,/img/derivatives/simple/obj89/thumbnail.jpg,/img/derivatives/simple/obj89/full.jpg,
obj9,Ousmane Sow,online, Corps a corps au couteau,1999,composite,,http://www.ousmanesow.com,9,gallery_item,visual-gallery,/img/derivatives/simple/obj9/thumbnail.jpg,/img/derivatives/simple/obj9/full.jpg,
obj90,,,Stewardship Now,6/11/06,photo,,,90,gallery_item,visual-gallery,/img/derivatives/simple/obj90/thumbnail.jpg,/img/derivatives/simple/obj90/full.jpg,
obj91,,,NOLA 2005,6/11/06,photo,,,91,gallery_item,visual-gallery,/img/derivatives/simple/obj91/thumbnail.jpg,/img/derivatives/simple/obj91/full.jpg,
obj92,,,As long as the Rivers flow,6/11/06,photo,,,92,gallery_item,visual-gallery,/img/derivatives/simple/obj92/thumbnail.jpg,/img/derivatives/simple/obj92/full.jpg,
obj93,,,"Trailblazer, East",6/8/06,photo,,,93,gallery_item,visual-gallery,/img/derivatives/simple/obj93/thumbnail.jpg,/img/derivatives/simple/obj93/full.jpg,
obj94,,,War Memorial,6/8/06,photo,,,94,gallery_item,visual-gallery,/img/derivatives/simple/obj94/thumbnail.jpg,/img/derivatives/simple/obj94/full.jpg,
obj95,,,Tioga (Turning) Point,6/8/06,photo,,,95,gallery_item,visual-gallery,/img/derivatives/simple/obj95/thumbnail.jpg,/img/derivatives/simple/obj95/full.jpg,
obj96,,,Susquehanna Banks,6/8/06,photo,,,96,gallery_item,visual-gallery,/img/derivatives/simple/obj96/thumbnail.jpg,/img/derivatives/simple/obj96/full.jpg,
obj97,,,Over Ancestral Bones,6/8/06,photo,,,97,gallery_item,visual-gallery,/img/derivatives/simple/obj97/thumbnail.jpg,/img/derivatives/simple/obj97/full.jpg,
obj98,,,Wyoming!,6/8/06,photo,,,98,gallery_item,visual-gallery,/img/derivatives/simple/obj98/thumbnail.jpg,/img/derivatives/simple/obj98/full.jpg,
obj99,,,Marking Wyoming,6/8/06,photo,,,99,gallery_item,visual-gallery,/img/derivatives/simple/obj99/thumbnail.jpg,/img/derivatives/simple/obj99/full.jpg,
